Nome,Previsto,Effettivo (2024),Differenza
Matteo Ricci,25.15548,63.0,37.844520568847656
Diego González,32.549274,70.0,37.45072555541992
Jakub Szymański,58.22897,23.0,35.22896957397461
Malik Tillman,23.902288,59.0,35.09771156311035
Keegan Jelacic,23.047194,57.0,33.95280647277832
Olivier Deman,31.363564,65.0,33.636436462402344
Rhys Byrne,26.258324,58.0,31.741676330566406
Bright Osayi-Samuel,34.76448,66.0,31.235519409179688
Taylor Luvambo,26.866951,58.0,31.13304901123047
Jacob Murphy,30.916794,62.0,31.083206176757812
Quentin Galvez-Diarra,45.942352,15.0,30.942352294921875
Julián Fernández,36.08745,67.0,30.912551879882812
Nicolò Barella,47.17825,78.0,30.82175064086914
Juninho Bacuna,34.352203,65.0,30.647796630859375
Mats Köhlert,32.361492,63.0,30.638507843017578
Kevin Stöger,29.40037,60.0,30.59963035583496
Simon Ebonog,25.70609,56.0,30.293909072875977
Owen Wolff,29.97896,60.0,30.021039962768555
Patrick Schulte,45.95199,16.0,29.951988220214844
Bode Hidalgo,28.28273,58.0,29.717269897460938
Dimitar Mitov,31.951536,61.0,29.048463821411133
Isaac Boehmer,45.976814,17.0,28.97681427001953
Johannes Schenk,45.970203,17.0,28.970203399658203
Barry Lauwers,45.95632,17.0,28.956321716308594
Sven Jansen,45.94864,17.0,28.948638916015625
Blondy Nna Noukeu,45.94274,17.0,28.94274139404297
David Skubl,45.93819,17.0,28.938190460205078
Tim Rönning,45.883724,17.0,28.883724212646484
Justin Hammel,45.98866,18.0,27.988658905029297
Paul Tschernuth,45.954018,18.0,27.954017639160156
Toms Leitis,45.953377,18.0,27.95337677001953
Robin Roefs,45.94432,18.0,27.944320678710938
Mile Svilar,30.207895,58.0,27.792104721069336
Adam Smith,45.436687,73.0,27.563312530517578
Lewis Morgan,35.547756,63.0,27.45224380493164
Jackson Smith,45.960323,19.0,26.960323333740234
Macklin Freke,45.955185,19.0,26.955184936523438
Mustafa Burak Bozan,45.95123,19.0,26.951229095458984
Alexandre Pierre,45.94955,19.0,26.94955062866211
Sam Karssies,45.94943,19.0,26.94942855834961
Arsh Shaikh,45.946163,19.0,26.946163177490234
Jakob Golz,45.942963,19.0,26.942962646484375
Jonathan Lima,45.94072,19.0,26.940719604492188
Nicholas Bilokapic,45.93985,19.0,26.939849853515625
Matthew Connelly,45.93342,19.0,26.93341827392578
Ramzi Solan,19.388666,46.0,26.6113338470459
Patrick Berg,42.62944,69.0,26.370559692382812
Damián Pizarro,45.081234,19.0,26.081233978271484
Kayne Bonnevie,45.980225,20.0,25.980224609375
Yannick Pandor,45.975056,20.0,25.975055694580078
Louis Fortin,45.962173,20.0,25.962173461914062
Mateusz Dudek,45.96026,20.0,25.96025848388672
Hakon Valdimarsson,45.951797,20.0,25.951797485351562
Théo Chatelain,45.950386,20.0,25.95038604736328
Vishal Yadav,45.94955,20.0,25.94955062866211
Gaëtan Poussin,45.9477,20.0,25.94770050048828
Ethan Cox,45.947315,20.0,25.947315216064453
Youri Schoonderwaldt,45.94674,20.0,25.946739196777344
Filip Marschall,45.945133,20.0,25.945133209228516
Lasse Schulz,45.94359,20.0,25.943588256835938
Curtis Davies,41.074295,67.0,25.925704956054688
Connor Malley,27.483688,53.0,25.516311645507812
Lasse Günther,24.69107,50.0,25.308929443359375
Lorcan Healy,26.927647,52.0,25.07235336303711
Senne Lammens,46.016617,21.0,25.016616821289062
Roman Celentano,45.945908,21.0,24.945907592773438
Nathan Harness,45.945377,21.0,24.945377349853516
Kjell Peersman,45.943848,21.0,24.94384765625
Thomas Gillier,45.943367,21.0,24.94336700439453
Mohamed Koné,45.940063,21.0,24.9400634765625
Petar Zovko,45.939995,21.0,24.93999481201172
Leander Øy,45.93677,21.0,24.936771392822266
Rayan Al Mousa,37.54248,62.0,24.45751953125
Matěj Jurásek,22.619797,47.0,24.380203247070312
Jack Payne,26.933187,51.0,24.06681251525879
Alexander Weidinger,45.98354,22.0,23.983539581298828
Abdul Manaf Nurudeen,45.969624,22.0,23.969623565673828
Jake Turner,45.950123,22.0,23.950122833251953
Gavin Beavers,45.944878,22.0,23.94487762451172
Sachin Suresh,45.94287,22.0,23.94287109375
Théo De Percin,45.938324,22.0,23.938323974609375
Tobias Bech,34.73713,58.0,23.26287078857422
Nicolas Kristof,46.064274,23.0,23.064273834228516
Manuel Roffo,45.964737,23.0,22.964736938476562
Jack Lemoignan,45.96167,23.0,22.961669921875
Jamie Searle,45.959526,23.0,22.95952606201172
Erdem Canpolat,45.95339,23.0,22.953388214111328
Magnus Rugland Ree,45.952927,23.0,22.952926635742188
Marcel Lotka,45.951206,23.0,22.95120620727539
Yann Lienard,45.95101,23.0,22.951011657714844
Manuel Ferrel,45.948498,23.0,22.948497772216797
Daniel Barden,45.945953,23.0,22.945953369140625
Daniel Klein,45.945526,23.0,22.945526123046875
Joaquín Blázquez,45.943157,23.0,22.943157196044922
Taye Ashby-Hammond,45.94028,23.0,22.94028091430664
Jordan Amissah,45.938515,23.0,22.938514709472656
Jordan Graham,28.296673,51.0,22.703327178955078
Liam Walsh,35.700645,58.0,22.299354553222656
Alfie Jones,45.725807,68.0,22.274192810058594
Rory McKenzie,27.79724,50.0,22.202760696411133
George Honeyman,42.85684,65.0,22.14316177368164
Rafał Strączek,46.008633,24.0,22.00863265991211
Francesco Di Mariano,30.015078,52.0,21.984922409057617
Wille Jakobsson,45.965637,24.0,21.96563720703125
Anthony Patterson,45.962418,24.0,21.962417602539062
Georgios Theocharis,45.960712,24.0,21.960712432861328
Diant Ramaj,45.955883,24.0,21.955883026123047
Emmanuel Ochoa,45.955467,24.0,21.955467224121094
Steven Hall,45.953556,24.0,21.953556060791016
Paul Schermer,45.953377,24.0,21.95337677001953
Samuel Brolin,45.95264,24.0,21.952640533447266
Joe Whitworth,45.951862,24.0,21.951862335205078
Sam Tickle,45.950222,24.0,21.95022201538086
Ben Bottomley,45.947964,24.0,21.94796371459961
José Arbio,45.94759,24.0,21.947589874267578
Armin Abaz,45.941395,24.0,21.941394805908203
Bandar Al Shahrani,45.9393,24.0,21.939300537109375
Alex Badolato,20.063166,42.0,21.93683433532715
Max Hagemoser,45.93668,24.0,21.93667984008789
Nunzio Lella,40.21197,62.0,21.788028717041016
Amine Gouiri,23.240189,45.0,21.759811401367188
Samuel Gustafson,45.33539,67.0,21.66461181640625
Jake Davis,35.451157,57.0,21.548843383789062
Jordan Wright,42.4859,21.0,21.48590087890625
Christian Früchtl,45.451107,24.0,21.451107025146484
Romeo Vucic,40.400463,19.0,21.400463104248047
George Hall,40.624577,62.0,21.375423431396484
Connor Roberts,47.684906,69.0,21.315093994140625
Julian Ryerson,51.89482,73.0,21.105178833007812
Moritz Nicolas,42.038727,21.0,21.038726806640625
Edoardo Corvi,45.998528,25.0,20.99852752685547
Stefan Bajic,45.981445,25.0,20.9814453125
Filippo Manfrin,45.965176,25.0,20.96517562866211
Ron-Thorben Hoffmann,45.96376,25.0,20.963760375976562
Federico Brancolini,45.962784,25.0,20.962783813476562
Rafael Hornos,45.962154,25.0,20.962154388427734
Matheo Raab,45.96145,25.0,20.961448669433594
Abraham Rodriguez,45.957924,25.0,20.957923889160156
John Pulskamp,45.957424,25.0,20.95742416381836
Pascal Kuiper,45.954376,25.0,20.954376220703125
Massamba Ndiaye,45.953915,25.0,20.953914642333984
Hunor Gedő,45.949203,25.0,20.949203491210938
Toni Stahl,45.948402,25.0,20.948402404785156
Răzvan Sava,45.940727,25.0,20.94072723388672
Amrit Gope,45.939487,25.0,20.93948745727539
Jonas Kersken,45.937412,25.0,20.93741226196289
Ghjuvanni Quilichini,45.9338,25.0,20.933799743652344
Sebastiano Luperto,55.124725,76.0,20.875274658203125
Mattia Aramu,31.140743,52.0,20.859256744384766
Mikkel Desler,46.395473,67.0,20.60452651977539
Ryan Wintle,43.6251,64.0,20.374900817871094
Callum O'Dowda,30.736128,51.0,20.263872146606445
Joe Rothwell,40.778313,61.0,20.22168731689453
James Delianov,46.00334,26.0,20.003341674804688
Ruslan Neshcheret,45.9759,26.0,19.97589874267578
Tomás Durso,45.9753,26.0,19.975299835205078
Boubacar Fall,45.971066,26.0,19.971065521240234
Daniel Adamczyk,45.964077,26.0,19.96407699584961
Philipp Schulze,45.961525,26.0,19.961524963378906
Davy Rouyard,45.96048,26.0,19.960479736328125
Arne Schulz,45.960255,26.0,19.960254669189453
Samik Mitra,45.959732,26.0,19.959732055664062
Luca Philipp,45.949783,26.0,19.949783325195312
Alexandru Utiu,45.94757,26.0,19.94757080078125
Lewis Webb,45.944027,26.0,19.944026947021484
Cian Tyler,45.943497,26.0,19.943496704101562
Lara Sharma,45.942062,26.0,19.942062377929688
Florian Schock,45.93918,26.0,19.939178466796875
Jonas Nickisch,45.937843,26.0,19.937843322753906
Mathias Delorge,28.26163,48.0,19.738370895385742
Ardon Jashari,44.78502,64.0,19.214981079101562
Oregan Ravet,46.05959,27.0,19.059589385986328
Tjark Ernst,45.9781,27.0,18.978099822998047
Anuj Kumar,45.975513,27.0,18.975513458251953
George Marks,45.966507,27.0,18.966506958007812
Fabio Rosales,45.964115,27.0,18.964115142822266
