Nome,Previsto,Effettivo (2024),Differenza
Marlon Ritter,23.304777,65.0,41.69522285461426
Bright Osayi-Samuel,25.614052,66.0,40.385948181152344
Jakub Szymański,58.29378,23.0,35.29378128051758
Mats Köhlert,28.035791,63.0,34.96420860290527
Malik Tillman,24.833683,59.0,34.166316986083984
Jordan Lotomba,37.481815,71.0,33.518184661865234
Julián Fernández,33.743847,67.0,33.25615310668945
Bode Hidalgo,25.171267,58.0,32.82873344421387
Rhys Byrne,25.827467,58.0,32.17253303527832
Simon Ebonog,24.243906,56.0,31.756093978881836
Keegan Jelacic,25.347673,57.0,31.652326583862305
Paul Izzo,23.439398,55.0,31.56060218811035
David Robson,45.50511,15.0,30.505111694335938
Quentin Galvez-Diarra,45.503185,15.0,30.503185272216797
Taylor Luvambo,27.905865,58.0,30.094135284423828
Patrick Schulte,45.505756,16.0,29.505756378173828
Anthony Schmid,45.513016,17.0,28.513015747070312
Isaac Boehmer,45.50779,17.0,28.507789611816406
David Skubl,45.505493,17.0,28.5054931640625
Blondy Nna Noukeu,45.504604,17.0,28.50460433959961
Barry Lauwers,45.50339,17.0,28.50339126586914
Sven Jansen,45.50312,17.0,28.50312042236328
Tim Rönning,45.50187,17.0,28.501869201660156
Johannes Schenk,45.405827,17.0,28.405826568603516
Lorcan Healy,23.914513,52.0,28.085487365722656
Frederik Børsting,33.092533,61.0,27.907466888427734
Dimitry Bertaud,25.097319,53.0,27.902681350708008
Dimitar Mitov,33.192913,61.0,27.807086944580078
Robin Roefs,45.505505,18.0,27.505504608154297
Paul Tschernuth,45.503597,18.0,27.503597259521484
Toms Leitis,45.503513,18.0,27.50351333618164
Justin Hammel,45.471138,18.0,27.47113800048828
Patrick Pentz,25.611742,53.0,27.38825798034668
Joseph Gbode,45.384407,18.0,27.38440704345703
Patrick Berg,41.768543,69.0,27.231456756591797
Mattia Aramu,24.76988,52.0,27.230119705200195
Missael Rodríguez,43.19791,16.0,27.19791030883789
Curtis Davies,39.867,67.0,27.132999420166016
Jack Payne,24.207106,51.0,26.79289436340332
Jakob Golz,45.513973,19.0,26.513973236083984
Jackson Smith,45.513206,19.0,26.513206481933594
Matthew Connelly,45.507362,19.0,26.507362365722656
Arsh Shaikh,45.506195,19.0,26.506195068359375
Alexandre Pierre,45.50477,19.0,26.50476837158203
Mio Backhaus,45.504654,19.0,26.504653930664062
Macklin Freke,45.504417,19.0,26.504417419433594
Sam Karssies,45.503994,19.0,26.50399398803711
Jonathan Lima,45.503944,19.0,26.503944396972656
Mustafa Burak Bozan,45.503872,19.0,26.50387191772461
Nicholas Bilokapic,45.50277,19.0,26.502769470214844
Lasse Günther,23.68016,50.0,26.319839477539062
Owen Wolff,33.72517,60.0,26.274829864501953
Callum O'Dowda,24.935966,51.0,26.06403350830078
Mikael Egill Ellertsson,29.005016,55.0,25.994983673095703
Jordan Graham,25.062628,51.0,25.9373722076416
Jean Butez,23.459614,49.0,25.540386199951172
Mateusz Dudek,45.51562,20.0,25.515621185302734
Yannick Pandor,45.514435,20.0,25.514434814453125
Vishal Yadav,45.51127,20.0,25.511268615722656
Théo Chatelain,45.510834,20.0,25.510833740234375
