Nome,Target,Previsto,Effettivo (2024),Differenza
Faisal Al Ghamdi,Physicality,47.157215,75.0,27.842784881591797
Julián Fernández,Physicality,50.547836,76.0,25.452163696289062
Alfie Jones,Physicality,52.398834,76.0,23.601165771484375
Jacob Farrell,Physicality,53.6687,76.0,22.331298828125
George Hall,Physicality,42.952484,65.0,22.047515869140625
Matías González,Physicality,59.59509,38.0,21.595088958740234
Bruno Valdez,Physicality,58.495472,80.0,21.504528045654297
Daniel Arzani,Physicality,40.61933,61.0,20.38066864013672
Jordhy Thompson,Physicality,37.699837,58.0,20.30016326904297
Matěj Jurásek,Physicality,49.97263,70.0,20.02737045288086
Calem Nieuwenhof,Physicality,47.195297,67.0,19.804702758789062
Richard Neudecker,Physicality,48.691437,68.0,19.308563232421875
Barış Alper Yılmaz,Physicality,64.98736,84.0,19.01264190673828
Matěj Kovář,Physicality,59.166965,78.0,18.83303451538086
Kegs Chauke,Physicality,43.538967,62.0,18.46103286743164
Issa Soumaré,Physicality,43.12231,61.0,17.877689361572266
Nicolò Cambiaghi,Physicality,54.124123,72.0,17.875877380371094
Lucas Chevalier,Physicality,59.27281,77.0,17.727188110351562
Cheick Conde,Physicality,59.592907,77.0,17.407093048095703
Hugo Larsson,Physicality,57.593258,75.0,17.406742095947266
Connor Barron,Physicality,53.684116,71.0,17.31588363647461
Arianit Ferati,Physicality,49.70339,67.0,17.296611785888672
Keegan Jelacic,Physicality,50.743805,68.0,17.256195068359375
Luca Langoni,Physicality,49.154247,66.0,16.845752716064453
Seedy Jatta,Physicality,50.282948,67.0,16.717052459716797
Christian Saydee,Physicality,62.411396,79.0,16.588603973388672
Aiden O'Neill,Physicality,60.624702,77.0,16.37529754638672
Václav Černý,Physicality,47.706543,64.0,16.29345703125
Jordan Bos,Physicality,60.81241,77.0,16.187591552734375
Daniel Paraschiv,Physicality,55.01976,71.0,15.980239868164062
Dmytro Riznyk,Physicality,59.20013,75.0,15.799869537353516
Yehvann Diouf,Physicality,59.23604,75.0,15.763961791992188
