Nome,Target,Previsto,Effettivo (2024),Differenza
Malik Tillman,defending,21.543121,59.0,37.456878662109375
Jakub Szymański,defending,58.944855,23.0,35.944854736328125
Rhys Byrne,defending,24.334084,58.0,33.665916442871094
Keegan Jelacic,defending,23.381895,57.0,33.61810493469238
Julián Fernández,defending,33.701283,67.0,33.2987174987793
Taylor Luvambo,defending,26.684782,58.0,31.315217971801758
Simon Ebonog,defending,25.032406,56.0,30.967594146728516
Owen Wolff,defending,29.21945,60.0,30.780550003051758
David Robson,defending,45.701138,15.0,30.70113754272461
Quentin Galvez-Diarra,defending,45.677586,15.0,30.67758560180664
Mile Svilar,defending,28.038939,58.0,29.961061477661133
Patrick Schulte,defending,45.708504,16.0,29.70850372314453
David Skubl,defending,45.706055,17.0,28.7060546875
Blondy Nna Noukeu,defending,45.6913,17.0,28.691299438476562
Barry Lauwers,defending,45.68392,17.0,28.683921813964844
Sven Jansen,defending,45.67777,17.0,28.67776870727539
Anthony Schmid,defending,45.558537,17.0,28.558536529541016
Isaac Boehmer,defending,45.475227,17.0,28.47522735595703
Johannes Schenk,defending,45.445393,17.0,28.445392608642578
Tim Rönning,defending,45.31239,17.0,28.312389373779297
Toms Leitis,defending,45.67438,18.0,27.674381256103516
Paul Tschernuth,defending,45.66917,18.0,27.669170379638672
Robin Roefs,defending,45.62298,18.0,27.62297821044922
Justin Hammel,defending,45.498203,18.0,27.49820327758789
Joseph Gbode,defending,45.461514,18.0,27.46151351928711
Curtis Davies,defending,40.01134,67.0,26.988658905029297
Mio Backhaus,defending,45.703564,19.0,26.703563690185547
Sam Karssies,defending,45.70027,19.0,26.700271606445312
Alexandre Pierre,defending,45.69292,19.0,26.692920684814453
Jonathan Lima,defending,45.683662,19.0,26.68366241455078
Nicholas Bilokapic,defending,45.664135,19.0,26.664134979248047
Mustafa Burak Bozan,defending,45.653423,19.0,26.653423309326172
Macklin Freke,defending,45.652657,19.0,26.65265655517578
Matthew Connelly,defending,45.622475,19.0,26.622474670410156
Arsh Shaikh,defending,45.614048,19.0,26.61404800415039
Jakob Golz,defending,45.590977,19.0,26.59097671508789
Jackson Smith,defending,45.574783,19.0,26.574783325195312
Lazar Samardžić,defending,30.72963,57.0,26.270370483398438
Lorcan Healy,defending,25.883669,52.0,26.116331100463867
Lasse Günther,defending,24.004333,50.0,25.99566650390625
Damián Pizarro,defending,44.856472,19.0,25.85647201538086
Youri Schoonderwaldt,defending,45.707897,20.0,25.707897186279297
Lasse Schulz,defending,45.689976,20.0,25.68997573852539
Ethan Cox,defending,45.67931,20.0,25.679309844970703
Murphy Mahoney,defending,45.678696,20.0,25.678695678710938
Gaëtan Poussin,defending,45.660748,20.0,25.660747528076172
Louis Fortin,defending,45.63042,20.0,25.630420684814453
