Nome,Target,Previsto,Effettivo (2024),Differenza
Nicolás Rossi,dribbling,69.597496,14.0,55.597496032714844
Kacper Bieszczad,dribbling,58.806423,5.0,53.80642318725586
Jędrzej Grobelny,dribbling,58.8023,5.0,53.80229949951172
Federico Brancolini,dribbling,58.792072,5.0,53.79207229614258
André Picornell,dribbling,58.78983,5.0,53.78982925415039
Rafał Strączek,dribbling,58.786022,5.0,53.7860221862793
Harvey Wiles-Richards,dribbling,58.782917,5.0,53.78291702270508
James Nieuwenhuizen,dribbling,58.782906,5.0,53.78290557861328
Steven Hall,dribbling,58.78235,5.0,53.7823486328125
Pietro Boer,dribbling,58.78157,5.0,53.78157043457031
Răzvan Sava,dribbling,58.77985,5.0,53.779850006103516
Erdem Canpolat,dribbling,58.778812,5.0,53.778812408447266
Phillip Menzel,dribbling,58.77769,5.0,53.77769088745117
Sam Karssies,dribbling,58.77739,5.0,53.77738952636719
Daniel Bielica,dribbling,58.807724,6.0,52.80772399902344
Matthieu Rongier,dribbling,58.803307,6.0,52.803306579589844
Szymon Weirauch,dribbling,58.79731,6.0,52.79730987548828
Kayne van Oevelen,dribbling,58.79324,6.0,52.79323959350586
Fabio Rosales,dribbling,58.790764,6.0,52.79076385498047
Amrit Gope,dribbling,58.787014,6.0,52.78701400756836
Jonas Urbig,dribbling,58.786922,6.0,52.786922454833984
Yann Lienard,dribbling,58.786346,6.0,52.786346435546875
Sachin Suresh,dribbling,58.784832,6.0,52.78483200073242
Samik Mitra,dribbling,58.784542,6.0,52.784542083740234
Cian Tyler,dribbling,58.78387,6.0,52.783870697021484
Luis Guillén,dribbling,58.783768,6.0,52.78376770019531
Gurmeet Singh,dribbling,58.782898,6.0,52.78289794921875
Matthew Connelly,dribbling,58.781937,6.0,52.78193664550781
Yannick Pandor,dribbling,58.77902,6.0,52.77901840209961
Jamie Searle,dribbling,58.77868,6.0,52.77867889404297
Mustafa Burak Bozan,dribbling,58.778492,6.0,52.77849197387695
Barry Lauwers,dribbling,58.77799,6.0,52.77798843383789
Anthony Patterson,dribbling,58.777542,6.0,52.77754211425781
Edoardo Corvi,dribbling,58.799747,7.0,51.799747467041016
Alexandre Pierre,dribbling,58.79749,7.0,51.797489166259766
Jon McCracken,dribbling,58.79479,7.0,51.7947883605957
Abraham Rodriguez,dribbling,58.79077,7.0,51.790771484375
Stefano Turati,dribbling,58.78947,7.0,51.78947067260742
Manuel Ferrel,dribbling,58.787777,7.0,51.787776947021484
Ghjuvanni Quilichini,dribbling,58.78528,7.0,51.7852783203125
Heath Richardson,dribbling,58.78475,7.0,51.784751892089844
Jake Turner,dribbling,58.78415,7.0,51.784149169921875
Rafael Hornos,dribbling,58.783054,7.0,51.78305435180664
Justin Hammel,dribbling,58.782825,7.0,51.7828254699707
Thomas Gillier,dribbling,58.78259,7.0,51.782588958740234
Emmanuel Ochoa,dribbling,58.781696,7.0,51.78169631958008
Massamba Ndiaye,dribbling,58.78096,7.0,51.78096008300781
Niklas Hedl,dribbling,58.780876,7.0,51.78087615966797
Petar Zovko,dribbling,58.780743,7.0,51.78074264526367
Utku Yuvakuran,dribbling,58.78035,7.0,51.78034973144531
Murphy Mahoney,dribbling,58.78024,7.0,51.78023910522461
Leander Øy,dribbling,58.77998,7.0,51.77997970581055
Yahia Fofana,dribbling,58.779922,7.0,51.77992248535156
Anthony Racioppi,dribbling,58.778164,7.0,51.77816390991211
Dominique Youfeigane,dribbling,58.778038,7.0,51.778038024902344
Vikram Singh,dribbling,58.593903,7.0,51.593902587890625
Filip Jörgensen,dribbling,58.803486,8.0,50.80348587036133
Jakob Tånnander,dribbling,58.80068,8.0,50.80067825317383
Xavier Dziekoński,dribbling,58.794746,8.0,50.79474639892578
Guillaume Restes,dribbling,58.794094,8.0,50.79409408569336
Alessandro Lai,dribbling,58.793865,8.0,50.79386520385742
John Pulskamp,dribbling,58.793022,8.0,50.79302215576172
