Nome,Target,Previsto,Effettivo (2024),Differenza
Reece James,overall,64.243645,84.0,19.75635528564453
Federico Dimarco,overall,65.14879,82.0,16.851211547851562
Skelly Alvero,overall,53.286385,69.0,15.713615417480469
Yehvann Diouf,overall,61.521103,77.0,15.478897094726562
Rayyan Baniya,overall,54.51754,69.0,14.482460021972656
Bruno Valdez,overall,59.870144,74.0,14.12985610961914
Lucas Chevalier,overall,64.74297,78.0,13.257026672363281
Moritz Jenz,overall,61.866123,74.0,12.13387680053711
Folarin Balogun,overall,66.95131,79.0,12.048690795898438
Jonathan Dubasin,overall,59.97675,72.0,12.023250579833984
Alex Palmer,overall,57.050716,69.0,11.949283599853516
Yusuf Erdoğan,overall,57.052624,69.0,11.947376251220703
Isak Hien,overall,63.236855,75.0,11.763145446777344
Federico Giraudo,overall,49.281418,61.0,11.718582153320312
Ernest Nuamah,overall,60.290432,72.0,11.70956802368164
Nicolas Kristof,overall,55.531094,67.0,11.46890640258789
Oday Dabbagh,overall,61.662052,73.0,11.337947845458984
Trai Hume,overall,56.869625,68.0,11.130374908447266
Quilindschy Hartman,overall,60.923157,72.0,11.07684326171875
Max Johnston,overall,55.013916,66.0,10.986083984375
Matej Maglica,overall,59.043083,70.0,10.956916809082031
Nectarios Triantis,overall,54.090233,65.0,10.909767150878906
Franco Israel,overall,60.12481,71.0,10.875190734863281
Yankuba Minteh,overall,54.287434,65.0,10.712566375732422
Alejo Veliz,overall,64.30011,75.0,10.69989013671875
Abdelkabir Abqar,overall,59.32494,70.0,10.675060272216797
Julian Ryerson,overall,66.37718,77.0,10.622817993164062
Bradley Barcola,overall,65.42736,76.0,10.572639465332031
Jerome Opoku,overall,60.58431,71.0,10.415691375732422
Matěj Kovář,overall,63.602318,74.0,10.397682189941406
Severin Ottiger,overall,52.61657,63.0,10.383430480957031
Ignacio Rodríguez,overall,55.617393,66.0,10.382606506347656
Andy Diouf,overall,63.654278,74.0,10.345722198486328
Eric Martel,overall,63.658318,74.0,10.341682434082031
Jordy Makengo,overall,56.6895,67.0,10.310501098632812
Elio Capradossi,overall,58.702785,69.0,10.29721450805664
Alessio Buttaro,overall,54.70386,65.0,10.296138763427734
Rico Henry,overall,67.83078,78.0,10.169219970703125
Andy Breuer,overall,62.145096,52.0,10.145095825195312
Bojan Miovski,overall,59.87884,70.0,10.121158599853516
Shady Oukhadda,overall,55.885616,66.0,10.114383697509766
Evan Ferguson,overall,63.05413,73.0,9.945869445800781
Cheick Conde,overall,61.08965,71.0,9.910350799560547
Miles Leaburn,overall,55.156593,65.0,9.843406677246094
Sikou Niakaté,overall,66.179474,76.0,9.820526123046875
Amine Salama,overall,58.215755,68.0,9.784244537353516
Andi Hoti,overall,57.235855,67.0,9.764144897460938
Tyronne Ebuehi,overall,64.294014,74.0,9.705986022949219
Juan José Cáceres,overall,63.349422,73.0,9.650577545166016
Mats Wieffer,overall,66.40474,76.0,9.595260620117188
