Nome,Target,Previsto,Effettivo (2024),Differenza
Jakub Szymański,passing,31.606194,64.0,32.39380645751953
Elio Capradossi,passing,28.444042,55.0,26.555957794189453
Matěj Kovář,passing,51.684826,77.0,25.315174102783203
Jordy Makengo,passing,33.679634,58.0,24.32036590576172
Rico Lewis,passing,42.711006,67.0,24.28899383544922
Reece James,passing,59.887028,83.0,23.112972259521484
Severin Ottiger,passing,30.044636,53.0,22.955364227294922
Jack Hamilton,passing,38.26599,60.0,21.7340087890625
Bart Verbruggen,passing,51.673054,73.0,21.326946258544922
Dominik Reimann,passing,51.67731,73.0,21.322689056396484
Jordan Graham,passing,44.848125,66.0,21.151874542236328
Aurèle Amenda,passing,29.457241,50.0,20.54275894165039
Quilindschy Hartman,passing,51.492943,72.0,20.507057189941406
Alessio Buttaro,passing,34.49878,55.0,20.501220703125
Elia Caprile,passing,51.667534,72.0,20.33246612548828
Yehvann Diouf,passing,51.672077,72.0,20.327922821044922
Filip Jörgensen,passing,51.67233,72.0,20.32767105102539
Anthony Patterson,passing,51.67333,72.0,20.326671600341797
Dimitry Bertaud,passing,51.695297,72.0,20.304702758789062
Dominik Kotarski,passing,51.695778,72.0,20.304222106933594
Dmytro Riznyk,passing,51.754124,72.0,20.24587631225586
Niccolò Corrado,passing,45.825764,66.0,20.174236297607422
Salvatore Dario La Vardera,passing,31.301603,51.0,19.698396682739258
Quentin Braat,passing,51.672173,71.0,19.32782745361328
Lucas Chevalier,passing,51.6726,71.0,19.32740020751953
Noah Atubolu,passing,51.67861,71.0,19.321388244628906
Marko Johansson,passing,51.712944,71.0,19.28705596923828
Malcom Bokele,passing,35.30649,54.0,18.69350814819336
Đorđe Petrović,passing,51.669388,70.0,18.330612182617188
Franco Israel,passing,51.67066,70.0,18.329341888427734
Luca Unbehaun,passing,51.670326,69.0,17.329673767089844
Oliver Christensen,passing,51.671375,69.0,17.328624725341797
Diant Ramaj,passing,51.67237,69.0,17.32762908935547
James Trafford,passing,51.679802,69.0,17.32019805908203
Robert Popa,passing,51.683605,69.0,17.316394805908203
Carl Rushworth,passing,51.706768,69.0,17.293231964111328
Junior Mwanga,passing,41.9182,59.0,17.081798553466797
Adam Obert,passing,42.93435,60.0,17.065650939941406
Nectarios Triantis,passing,39.15793,56.0,16.842071533203125
Isaac Price,passing,46.457817,63.0,16.54218292236328
Guillaume Restes,passing,51.670723,68.0,16.32927703857422
Peter Vindahl Jensen,passing,51.67113,68.0,16.328868865966797
Fabian de Keijzer,passing,51.67172,68.0,16.32828140258789
Stefano Turati,passing,51.672127,68.0,16.32787322998047
Rafael Hornos,passing,51.675434,68.0,16.324565887451172
Ron-Thorben Hoffmann,passing,51.67884,68.0,16.32115936279297
Arian Llugiqi,passing,38.684742,55.0,16.315258026123047
Andi Hoti,passing,29.701223,46.0,16.298776626586914
Tomás Silva,passing,51.745396,68.0,16.25460433959961
George Harmon,passing,35.128887,51.0,15.871112823486328
Juan Pablo Torres,passing,44.31376,60.0,15.686241149902344
Matías González,passing,43.508766,59.0,15.491233825683594
Manuel Roffo,passing,51.671303,67.0,15.328697204589844
Gaëtan Coucke,passing,51.67154,67.0,15.328460693359375
Christian Früchtl,passing,51.673637,67.0,15.326362609863281
Mattia Chiesa,passing,51.683514,67.0,15.316486358642578
Ruslan Neshcheret,passing,51.68421,67.0,15.315788269042969
