Nome,Target,Previsto,Effettivo (2024),Differenza
Federico Dimarco,shooting,36.0775,71.0,34.92250061035156
Jakub Szymański,shooting,28.760231,60.0,31.239768981933594
Lucas Chevalier,shooting,47.544357,75.0,27.455642700195312
Yehvann Diouf,shooting,47.544056,74.0,26.455944061279297
Connor Roberts,shooting,34.65374,61.0,26.34626007080078
Đorđe Petrović,shooting,47.543434,73.0,25.456565856933594
Matěj Kovář,shooting,47.544445,73.0,25.455554962158203
Filip Jörgensen,shooting,47.54463,73.0,25.455371856689453
Reece James,shooting,47.428776,72.0,24.571224212646484
Elia Caprile,shooting,47.54479,72.0,24.455211639404297
Bart Verbruggen,shooting,47.545147,71.0,23.454853057861328
Freddie Woodman,shooting,47.550842,71.0,23.44915771484375
Hakim Guenouche,shooting,30.78875,54.0,23.21125030517578
Oliver Christensen,shooting,47.542233,70.0,22.457767486572266
Franco Israel,shooting,47.544083,70.0,22.455917358398438
Manuel Roffo,shooting,47.544834,70.0,22.45516586303711
Mandela Keita,shooting,31.102781,53.0,21.897218704223633
Jordan Bos,shooting,36.4272,58.0,21.572799682617188
Niklas Hedl,shooting,47.54379,69.0,21.45621109008789
Stefano Turati,shooting,47.543938,69.0,21.45606231689453
James Trafford,shooting,47.54405,69.0,21.455951690673828
Nico Mantl,shooting,47.54452,69.0,21.45547866821289
Guillaume Restes,shooting,47.544563,69.0,21.45543670654297
Matheo Raab,shooting,47.544678,69.0,21.455322265625
Dimitry Bertaud,shooting,47.57047,69.0,21.42953109741211
Radosław Majecki,shooting,47.58168,69.0,21.418319702148438
Alex Palmer,shooting,47.58697,69.0,21.413028717041016
Alessio Buttaro,shooting,25.086521,46.0,20.91347885131836
Gaëtan Coucke,shooting,47.543144,68.0,20.45685577392578
Anthony Patterson,shooting,47.543224,68.0,20.456775665283203
Quentin Braat,shooting,47.543446,68.0,20.456554412841797
Gaëtan Poussin,shooting,47.545033,68.0,20.454967498779297
Lucas Lund,shooting,47.54614,68.0,20.453861236572266
Nathan Baxter,shooting,47.546597,68.0,20.45340347290039
Mile Svilar,shooting,47.582844,68.0,20.417156219482422
Tommaso Baldanzi,shooting,52.78319,73.0,20.216808319091797
Rafał Strączek,shooting,47.544025,67.0,19.455974578857422
Leopold Wahlstedt,shooting,47.544193,67.0,19.455806732177734
Ivan Nevistić,shooting,47.544327,67.0,19.455673217773438
Filip Stanković,shooting,47.544853,67.0,19.45514678955078
Moritz Nicolas,shooting,47.545002,67.0,19.454998016357422
Christian Früchtl,shooting,47.546257,67.0,19.45374298095703
Dominik Kotarski,shooting,47.54818,67.0,19.451820373535156
Carl Rushworth,shooting,47.54833,67.0,19.451671600341797
Gary Magnée,shooting,32.689976,52.0,19.31002426147461
